 I, I, I, I, O, O, O, O, O, O, O
D1,D2,D3,D4,Q1,Q2,Q3,Q4,Q5,Q6,Q7
 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0
 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1
 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1
 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0
 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1
 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1
 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1
 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1
 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1
 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1
 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0
 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1
 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0
 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1
 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1
